Tag,Keyword,Attribute name,VR,Field name of a table,Type,Size if settings
00081111,ReferencedPerformedProcedureStepSequence,Referenced Performed Procedure Step Sequence,SQ,referenced_performed_procedure_step_sequence,String,128
00081115,ReferencedSeriesSequence,Referenced Series Sequence,SQ,referenced_series_sequence,String,128
00081120,ReferencedPatientSequence,Referenced Patient Sequence,SQ,referenced_patient_sequence,String,128
00081125,ReferencedVisitSequence,Referenced Visit Sequence,SQ,referenced_visit_sequence,String,128
00081130,ReferencedOverlaySequence,Referenced Overlay Sequence,SQ,referenced_overlay_sequence,String,128
00081134,ReferencedStereometricInstanceSequence,Referenced Stereometric Instance Sequence,SQ,referenced_stereometric_instance_sequence,String,128
0008113A,ReferencedWaveformSequence,Referenced Waveform Sequence,SQ,referenced_waveform_sequence,String,128
00081140,ReferencedImageSequence,Referenced Image Sequence,SQ,referenced_image_sequence,String,128
00081145,ReferencedCurveSequence,Referenced Curve Sequence,SQ,referenced_curve_sequence,String,128
0008114A,ReferencedInstanceSequence,Referenced Instance Sequence,SQ,referenced_instance_sequence,String,128
0008114B,ReferencedRealWorldValueMappingInstanceSequence,Referenced Real World Value Mapping Instance Sequence,SQ,referenced_real_world_value_mapping_instance_sequence,String,128
00081150,ReferencedSOPClassUID,Referenced SOP Class UID,UI,referenced_sop_class_uid,String,512
00081155,ReferencedSOPInstanceUID,Referenced SOP Instance UID,UI,referenced_sop_instance_uid,String,512
00081156,DefinitionSourceSequence,Definition Source Sequence,SQ,definition_source_sequence,String,128
0008115A,SOPClassesSupported,SOP Classes Supported,UI,sop_classes_supported,String,512
00081160,ReferencedFrameNumber,Referenced Frame Number,IS,referenced_frame_number,String,96
00081161,SimpleFrameList,Simple Frame List,UL,simple_frame_list,String,32
00081162,CalculatedFrameList,Calculated Frame List,UL,calculated_frame_list,String,32
00081163,TimeRange,Time Range,FD,time_range,String,64
00081164,FrameExtractionSequence,Frame Extraction Sequence,SQ,frame_extraction_sequence,String,128
00081167,MultiFrameSourceSOPInstanceUID,Multi-frame Source SOP Instance UID,UI,multi_frame_source_sop_instance_uid,String,512
00081190,RetrieveURL,Retrieve URL,UR,retrieve_url,String,64
00081195,TransactionUID,Transaction UID,UI,transaction_uid,String,512
00081196,WarningReason,Warning Reason,US,warning_reason,String,16
00081197,FailureReason,Failure Reason,US,failure_reason,String,16
00081198,FailedSOPSequence,Failed SOP Sequence,SQ,failed_sop_sequence,String,128
00081199,ReferencedSOPSequence,Referenced SOP Sequence,SQ,referenced_sop_sequence,String,128
0008119A,OtherFailuresSequence,Other Failures Sequence,SQ,other_failures_sequence,String,128
00081200,StudiesContainingOtherReferencedInstancesSequence,Studies Containing Other Referenced Instances Sequence,SQ,studies_containing_other_referenced_instances_sequence,String,128
00081250,RelatedSeriesSequence,Related Series Sequence,SQ,related_series_sequence,String,128
00082110,LossyImageCompressionRetired,Lossy Image Compression (Retired),CS,lossy_image_compression_retired,String,128
00082111,DerivationDescription,Derivation Description,ST,derivation_description,Text
00082112,SourceImageSequence,Source Image Sequence,SQ,source_image_sequence,String,128
00082120,StageName,Stage Name,SH,stage_name,String,128
00082122,StageNumber,Stage Number,IS,stage_number,String,96
00082124,NumberOfStages,Number of Stages,IS,number_of_stages,String,96
00082127,ViewName,View Name,SH,view_name,String,128
00082128,ViewNumber,View Number,IS,view_number,String,96
00082129,NumberOfEventTimers,Number of Event Timers,IS,number_of_event_timers,String,96
0008212A,NumberOfViewsInStage,Number of Views in Stage,IS,number_of_views_in_stage,String,96
00082130,EventElapsedTimes,Event Elapsed Time(s),DS,event_elapsed_times,String,128
00082132,EventTimerNames,Event Timer Name(s),LO,event_timer_names,String,512
00082133,EventTimerSequence,Event Timer Sequence,SQ,event_timer_sequence,String,128
00082134,EventTimeOffset,Event Time Offset,FD,event_time_offset,String,64
00082135,EventCodeSequence,Event Code Sequence,SQ,event_code_sequence,String,128
00082142,StartTrim,Start Trim,IS,start_trim,String,96
00082143,StopTrim,Stop Trim,IS,stop_trim,String,96
00082144,RecommendedDisplayFrameRate,Recommended Display Frame Rate,IS,recommended_display_frame_rate,String,96
00082200,TransducerPosition,Transducer Position,CS,transducer_position,String,128
00082204,TransducerOrientation,Transducer Orientation,CS,transducer_orientation,String,128
00082208,AnatomicStructure,Anatomic Structure,CS,anatomic_structure,String,128
00082218,AnatomicRegionSequence,Anatomic Region Sequence,SQ,anatomic_region_sequence,String,128
00082220,AnatomicRegionModifierSequence,Anatomic Region Modifier Sequence,SQ,anatomic_region_modifier_sequence,String,128
00082228,PrimaryAnatomicStructureSequence,Primary Anatomic Structure Sequence,SQ,primary_anatomic_structure_sequence,String,128
00082229,AnatomicStructureSpaceOrRegionSequence,"Anatomic Structure, Space or Region Sequence",SQ,anatomic_structure_space_or_region_sequence,String,128
00082230,PrimaryAnatomicStructureModifierSequence,Primary Anatomic Structure Modifier Sequence,SQ,primary_anatomic_structure_modifier_sequence,String,128
00082240,TransducerPositionSequence,Transducer Position Sequence,SQ,transducer_position_sequence,String,128
00082242,TransducerPositionModifierSequence,Transducer Position Modifier Sequence,SQ,transducer_position_modifier_sequence,String,128
00082244,TransducerOrientationSequence,Transducer Orientation Sequence,SQ,transducer_orientation_sequence,String,128
00082246,TransducerOrientationModifierSequence,Transducer Orientation Modifier Sequence,SQ,transducer_orientation_modifier_sequence,String,128
00082251,AnatomicStructureSpaceOrRegionCodeSequenceTrial,Anatomic Structure Space Or Region Code Sequence (Trial),SQ,anatomic_structure_space_or_region_code_sequence_trial,String,128
00082253,AnatomicPortalOfEntranceCodeSequenceTrial,Anatomic Portal Of Entrance Code Sequence (Trial),SQ,anatomic_portal_of_entrance_code_sequence_trial,String,128
00082255,AnatomicApproachDirectionCodeSequenceTrial,Anatomic Approach Direction Code Sequence (Trial),SQ,anatomic_approach_direction_code_sequence_trial,String,128
00082256,AnatomicPerspectiveDescriptionTrial,Anatomic Perspective Description (Trial),ST,anatomic_perspective_description_trial,Text
00082257,AnatomicPerspectiveCodeSequenceTrial,Anatomic Perspective Code Sequence (Trial),SQ,anatomic_perspective_code_sequence_trial,String,128
00082258,AnatomicLocationOfExaminingInstrumentDescriptionTrial,Anatomic Location Of Examining Instrument Description (Trial),ST,anatomic_location_of_examining_instrument_description_trial,Text
00082259,AnatomicLocationOfExaminingInstrumentCodeSequenceTrial,Anatomic Location Of Examining Instrument Code Sequence (Trial),SQ,anatomic_location_of_examining_instrument_code_sequence_trial,String,128
0008225A,AnatomicStructureSpaceOrRegionModifierCodeSequenceTrial,Anatomic Structure Space Or Region Modifier Code Sequence (Trial),SQ,anatomic_structure_space_or_region_modifier_code_sequence_trial,String,128
0008225C,OnAxisBackgroundAnatomicStructureCodeSequenceTrial,On Axis Background Anatomic Structure Code Sequence (Trial),SQ,on_axis_background_anatomic_structure_code_sequence_trial,String,128
00083001,AlternateRepresentationSequence,Alternate Representation Sequence,SQ,alternate_representation_sequence,String,128
00083002,AvailableTransferSyntaxUID,Available Transfer Syntax UID,UI,available_transfer_syntax_uid,String,512
00083010,IrradiationEventUID,Irradiation Event UID,UI,irradiation_event_uid,String,512
00083011,SourceIrradiationEventSequence,Source Irradiation Event Sequence,SQ,source_irradiation_event_sequence,String,128
00083012,RadiopharmaceuticalAdministrationEventUID,Radiopharmaceutical Administration Event UID,UI,radiopharmaceutical_administration_event_uid,String,512
00084000,IdentifyingComments,Identifying Comments,LT,identifying_comments,Text
00089007,FrameType,Frame Type,CS,frame_type,String,128
00089092,ReferencedImageEvidenceSequence,Referenced Image Evidence Sequence,SQ,referenced_image_evidence_sequence,String,128
00089121,ReferencedRawDataSequence,Referenced Raw Data Sequence,SQ,referenced_raw_data_sequence,String,128
00089123,CreatorVersionUID,Creator-Version UID,UI,creator_version_uid,String,512
00089124,DerivationImageSequence,Derivation Image Sequence,SQ,derivation_image_sequence,String,128
00089154,SourceImageEvidenceSequence,Source Image Evidence Sequence,SQ,source_image_evidence_sequence,String,128
00089205,PixelPresentation,Pixel Presentation,CS,pixel_presentation,String,128
00089206,VolumetricProperties,Volumetric Properties,CS,volumetric_properties,String,128
00089207,VolumeBasedCalculationTechnique,Volume Based Calculation Technique,CS,volume_based_calculation_technique,String,128
00089208,ComplexImageComponent,Complex Image Component,CS,complex_image_component,String,128
00089209,AcquisitionContrast,Acquisition Contrast,CS,acquisition_contrast,String,128
00089215,DerivationCodeSequence,Derivation Code Sequence,SQ,derivation_code_sequence,String,128
00089237,ReferencedPresentationStateSequence,Referenced Presentation State Sequence,SQ,referenced_presentation_state_sequence,String,128
00089410,ReferencedOtherPlaneSequence,Referenced Other Plane Sequence,SQ,referenced_other_plane_sequence,String,128
00089458,FrameDisplaySequence,Frame Display Sequence,SQ,frame_display_sequence,String,128
00089459,RecommendedDisplayFrameRateInFloat,Recommended Display Frame Rate in Float,FL,recommended_display_frame_rate_in_float,String,32
00089460,SkipFrameRangeFlag,Skip Frame Range Flag,CS,skip_frame_range_flag,String,128
00100010,PatientName,Patient's Name,PN,patient_s_name,String,512
00100020,PatientID,Patient ID,LO,patient_dcm_id,String,512
00100021,IssuerOfPatientID,Issuer of Patient ID,LO,issuer_of_patient_id,String,512
00100022,TypeOfPatientID,Type of Patient ID,CS,type_of_patient_id,String,128
00100024,IssuerOfPatientIDQualifiersSequence,Issuer of Patient ID Qualifiers Sequence,SQ,issuer_of_patient_id_qualifiers_sequence,String,128
00100026,SourcePatientGroupIdentificationSequence,Source Patient Group Identification Sequence,SQ,source_patient_group_identification_sequence,String,128
00100027,GroupOfPatientsIdentificationSequence,Group of Patients Identification Sequence,SQ,group_of_patients_identification_sequence,String,128
00100028,SubjectRelativePositionInImage,Subject Relative Position in Image,US,subject_relative_position_in_image,String,16
00100030,PatientBirthDate,Patient's Birth Date,DA,patient_s_birth_date,String,64
00100032,PatientBirthTime,Patient's Birth Time,TM,patient_s_birth_time,String,128
00100033,PatientBirthDateInAlternativeCalendar,Patient's Birth Date in Alternative Calendar,LO,patient_s_birth_date_in_alternative_calendar,String,512
00100034,PatientDeathDateInAlternativeCalendar,Patient's Death Date in Alternative Calendar,LO,patient_s_death_date_in_alternative_calendar,String,512
00100035,PatientAlternativeCalendar,Patient's Alternative Calendar,CS,patient_s_alternative_calendar,String,128
00100040,PatientSex,Patient's Sex,CS,patient_s_sex,String,128
00100050,PatientInsurancePlanCodeSequence,Patient's Insurance Plan Code Sequence,SQ,patient_s_insurance_plan_code_sequence,String,128
00100101,PatientPrimaryLanguageCodeSequence,Patient's Primary Language Code Sequence,SQ,patient_s_primary_language_code_sequence,String,128
00100102,PatientPrimaryLanguageModifierCodeSequence,Patient's Primary Language Modifier Code Sequence,SQ,patient_s_primary_language_modifier_code_sequence,String,128
00100200,QualityControlSubject,Quality Control Subject,CS,quality_control_subject,String,128
00100201,QualityControlSubjectTypeCodeSequence,Quality Control Subject Type Code Sequence,SQ,quality_control_subject_type_code_sequence,String,128
00100212,StrainDescription,Strain Description,UC,strain_description,String,64
00100213,StrainNomenclature,Strain Nomenclature,LO,strain_nomenclature,String,512
00100214,StrainStockNumber,Strain Stock Number,LO,strain_stock_number,String,512
00100215,StrainSourceRegistryCodeSequence,Strain Source Registry Code Sequence,SQ,strain_source_registry_code_sequence,String,128
00100216,StrainStockSequence,Strain Stock Sequence,SQ,strain_stock_sequence,String,128
00100217,StrainSource,Strain Source,LO,strain_source,String,512
00100218,StrainAdditionalInformation,Strain Additional Information,UT,strain_additional_information,Text
00100219,StrainCodeSequence,Strain Code Sequence,SQ,strain_code_sequence,String,128
00100221,GeneticModificationsSequence,Genetic Modifications Sequence,SQ,genetic_modifications_sequence,String,128
00100222,GeneticModificationsDescription,Genetic Modifications Description,UC,genetic_modifications_description,String,64
00100223,GeneticModificationsNomenclature,Genetic Modifications Nomenclature,LO,genetic_modifications_nomenclature,String,512
00100229,GeneticModificationsCodeSequence,Genetic Modifications Code Sequence,SQ,genetic_modifications_code_sequence,String,128
00101000,OtherPatientIDs,Other Patient IDs,LO,other_patient_ids,String,512
00101001,OtherPatientNames,Other Patient Names,PN,other_patient_names,String,512
00101002,OtherPatientIDsSequence,Other Patient IDs Sequence,SQ,other_patient_ids_sequence,String,128
00101005,PatientBirthName,Patient's Birth Name,PN,patient_s_birth_name,String,512
00101010,PatientAge,Patient's Age,AS,patient_s_age,String,32
00101020,PatientSize,Patient's Size,DS,patient_s_size,String,128
00101021,PatientSizeCodeSequence,Patient's Size Code Sequence,SQ,patient_s_size_code_sequence,String,128
00101022,PatientBodyMassIndex,Patient's Body Mass Index,DS,patient_s_body_mass_index,String,128
00101023,MeasuredAPDimension,Measured AP Dimension,DS,measured_ap_dimension,String,128
00101024,MeasuredLateralDimension,Measured Lateral Dimension,DS,measured_lateral_dimension,String,128
00101030,PatientWeight,Patient's Weight,DS,patient_s_weight,String,128
00101040,PatientAddress,Patient's Address,LO,patient_s_address,String,512
00101050,InsurancePlanIdentification,Insurance Plan Identification,LO,insurance_plan_identification,String,512
00101060,PatientMotherBirthName,Patient's Mother's Birth Name,PN,patient_s_mother_s_birth_name,String,512
00101080,MilitaryRank,Military Rank,LO,military_rank,String,512
00101081,BranchOfService,Branch of Service,LO,branch_of_service,String,512
00101090,MedicalRecordLocator,Medical Record Locator,LO,medical_record_locator,String,512
00101100,ReferencedPatientPhotoSequence,Referenced Patient Photo Sequence,SQ,referenced_patient_photo_sequence,String,128
00102000,MedicalAlerts,Medical Alerts,LO,medical_alerts,String,512
00102110,Allergies,Allergies,LO,allergies,String,512
00102150,CountryOfResidence,Country of Residence,LO,country_of_residence,String,512
00102152,RegionOfResidence,Region of Residence,LO,region_of_residence,String,512
00102154,PatientTelephoneNumbers,Patient's Telephone Numbers,SH,patient_s_telephone_numbers,String,128
00102155,PatientTelecomInformation,Patient's Telecom Information,LT,patient_s_telecom_information,Text
00102160,EthnicGroup,Ethnic Group,SH,ethnic_group,String,128
00102180,Occupation,Occupation,SH,occupation,String,128
001021A0,SmokingStatus,Smoking Status,CS,smoking_status,String,128
001021B0,AdditionalPatientHistory,Additional Patient History,LT,additional_patient_history,Text
001021C0,PregnancyStatus,Pregnancy Status,US,pregnancy_status,String,16
001021D0,LastMenstrualDate,Last Menstrual Date,DA,last_menstrual_date,String,64
001021F0,PatientReligiousPreference,Patient's Religious Preference,LO,patient_s_religious_preference,String,512
00102201,PatientSpeciesDescription,Patient Species Description,LO,patient_species_description,String,512
00102202,PatientSpeciesCodeSequence,Patient Species Code Sequence,SQ,patient_species_code_sequence,String,128
